"","Date","Rot Home Team","Rot Away Team","Back2Back Home","HomeTeam","AwayTeam","1st Home Team Goals","1st Away Team Goals","2nd Home Team Goals","2nd Away Team Goals","3rd Home Team Goals","3rd Away Team Goals","FinalHome","FinalAway","Open Home Team","Open Away Team","CloseHomeTeam","CloseAwayTeam","Puck Line Home Team","Puck Line Away Team","...12","...33","Open OU","...14","...35","Close OU","...16","...37","DeadlineInd","Year","Game ID","DeadlineDays","Back2Back Away","BoundaryProbHome","BoundaryProbAway","BoundaryProbHome2","BoundaryProbAway2","Back2BackHome","Back2BackAway","ID"
"1",2021-10-12,2,1,1,"TampaBay","Pittsburgh",0,0,0,2,2,4,2,6,-140,120,-250,220,-1.5,1.5,"100","-120",6,100,-120,5.5,110,-130,0,0,1,-160,1,0.714285714285714,0.3125,0.695652173913043,0.304347826086956,0,0,1
"2",2021-10-12,4,3,1,"Vegas","Seattle",2,0,1,2,1,1,4,3,-290,235,-230,205,-1.5,1.5,"110","-130",5.5,-130,110,5.5,-125,105,0,0,2,-160,1,0.696969696969697,0.327868852459016,0.68007755695589,0.31992244304411,0,0,2
"3",2021-10-13,52,51,1,"Washington","NYRangers",1,0,2,0,2,1,5,1,-135,115,-108,-102,-1.5,1.5,"205","-235",6,100,-120,6,100,-120,0,0,3,-159,1,0.519230769230769,0.504950495049505,0.506971556051311,0.493028443948689,0,0,3
"4",2021-10-13,54,53,1,"Toronto","Montreal",1,1,0,0,1,0,2,1,-190,160,-196,176,-1.5,1.5,"125","-145",5.5,100,-120,6,-105,-115,0,0,4,-159,1,0.662162162162162,0.36231884057971,0.646339132097113,0.353660867902887,0,0,4
"5",2021-10-13,56,55,1,"Edmonton","Vancouver",1,0,1,0,0,2,3,2,-180,150,-198,178,-1.5,1.5,"115","-135",6.5,-120,100,6.5,110,-130,0,0,5,-159,1,0.664429530201342,0.359712230215827,0.648767149120739,0.351232850879261,0,0,5
"6",2021-10-13,58,57,1,"Colorado","Chicago",3,1,1,0,0,1,4,2,-315,255,-185,165,-1.5,1.5,"130","-150",6,-110,-110,6,100,-120,0,0,6,-159,1,0.649122807017544,0.377358490566038,0.63237665269268,0.36762334730732,0,0,6
"7",2021-10-13,60,59,1,"Anaheim","Winnipeg",2,0,1,1,1,0,4,1,130,-150,132,-145,1.5,-1.5,"-190","170",5.5,-115,-105,5.5,-120,100,0,0,7,-159,1,0.431034482758621,0.591836734693878,0.421396628826969,0.578603371173031,0,0,7
"8",2021-10-14,62,61,1,"Ottawa","Toronto",3,0,0,0,0,2,3,2,145,-170,155,-170,1.5,-1.5,"-160","140",6.5,-120,100,6.5,-125,105,0,0,8,-158,0,0.392156862745098,0.62962962962963,0.383795309168443,0.616204690831556,0,1,8
"9",2021-10-14,64,63,1,"Buffalo","Montreal",2,0,2,1,1,0,5,1,110,-130,132,-145,1.5,-1.5,"-190","170",5.5,105,-125,5.5,105,-125,0,0,9,-158,0,0.431034482758621,0.591836734693878,0.421396628826969,0.578603371173031,0,1,9
"10",2021-10-14,66,65,1,"Florida","Pittsburgh",1,0,1,2,2,2,5,4,-165,140,-175,157,-1.5,1.5,"135","-155",6.5,-120,100,6.5,-120,100,0,0,10,-158,1,0.636363636363636,0.389105058365759,0.620558813383925,0.379441186616075,0,0,10
"11",2021-10-14,68,67,1,"Carolina","NYIslanders",2,1,2,2,2,0,6,3,-125,105,-125,115,-1.5,1.5,"195","-220",5.5,-105,-115,5.5,-120,100,0,0,11,-158,1,0.555555555555556,0.465116279069767,0.544303797468354,0.455696202531646,0,0,11
"12",2021-10-14,70,69,0,"NYRangers","Dallas",0,1,2,1,0,0,2,3,-125,105,-132,122,-1.5,1.5,"185","-210",5.5,110,-130,6,-120,100,0,0,12,-158,1,0.568965517241379,0.45045045045045,0.558128904464422,0.441871095535578,1,0,12
"13",2021-10-14,72,71,1,"Columbus","Arizona",2,0,3,1,3,1,8,2,-135,115,-160,145,-1.5,1.5,"155","-175",5.5,105,-125,5.5,-115,-105,0,0,13,-158,1,0.615384615384615,0.408163265306122,0.601226993865031,0.398773006134969,0,0,13
